pitch_deg,fxO,fyO,fzO,txO,tyO,tzO,ftx,fty,ftz,eex,eey,eez
-1.636163422422864944e+00,-1.054980335869099672e+00,5.223749443311959118e-02,-9.381915268542602604e+00,-1.405583259459427213e-02,-1.067583952969355376e+00,-7.176622820945161366e-03,4.312054825885244247e-01,6.637245422834358514e-05,3.168344448675647351e-01,6.009553159033541592e-01,-4.265872673122838806e-06,3.166072889423862669e-01
-1.854951002674772420e+00,-1.032509550165856993e+00,1.026115204017220145e-01,-9.541166768325197722e+00,-2.935327651352911613e-02,-1.074892073329387410e+00,-1.058841170425044859e-02,4.299971033795663145e-01,6.700482158569397910e-05,3.167889143346936942e-01,5.997469282881445762e-01,-3.384880665027468474e-06,3.165554859797458653e-01
-2.067509238511125780e+00,-9.980403814882778946e-01,1.424267881202626318e-01,-9.485202269733486347e+00,-4.202124604885550119e-02,-1.059019416142932268e+00,-1.424439277109379454e-02,4.288230361646873101e-01,6.832180116800810052e-05,3.167529030309191862e-01,5.985728629704240022e-01,-1.546842778584592618e-06,3.165207009745085731e-01
-2.284901370064956527e+00,-1.003261042311724527e+00,1.548547834393673994e-01,-9.540737869757833778e+00,-4.526310280956223620e-02,-1.065715355117009100e+00,-1.420511847958498206e-02,4.276228364821660910e-01,6.902824638673520975e-05,3.167035507128955762e-01,5.973726547980239276e-01,-1.719671635292224191e-06,3.164654825182042774e-01
-2.497719249366667338e+00,-9.907845743615184553e-01,2.005132751438932492e-01,-9.414035757183460973e+00,-5.943345951034758462e-02,-1.050303400485646632e+00,-2.015877550157612469e-02,4.264477097097088554e-01,6.754046404132558188e-05,3.166594112715569453e-01,5.961975325640296308e-01,-2.632908191345774505e-06,3.164244290923556857e-01
-2.714688013822380341e+00,-9.622508802473881406e-01,2.291784182213099930e-01,-9.420253000042890790e+00,-6.822000447418383184e-02,-1.042062677200046084e+00,-2.254552694059496626e-02,4.252500461837095402e-01,6.655119795209480001e-05,3.166064679604594367e-01,5.949998699004748204e-01,-5.179341952666932820e-06,3.163725815420198040e-01
-2.928498452201939273e+00,-9.711850622556954526e-01,2.740459414055422260e-01,-9.508530170037671425e+00,-8.223050212350258015e-02,-1.052785465654177299e+00,-2.691087849468373067e-02,4.240700292609725919e-01,6.675845322278016090e-05,3.165532606785651515e-01,5.938198522315879524e-01,-3.719710924994528876e-06,3.163184537938668051e-01
-3.144326148454038794e+00,-9.414282071880828440e-01,2.930020460044187036e-01,-9.446084138623318083e+00,-8.847098576202187814e-02,-1.036179482677558106e+00,-2.711511342324065058e-02,4.228789043855779028e-01,6.636606888920711805e-05,3.164956572919012112e-01,5.926287335159475811e-01,-4.266261850935780422e-06,3.162653937816015115e-01
-3.360323185201019580e+00,-9.280330990580745176e-01,3.130230899093582320e-01,-9.490420777074602299e+00,-9.468333631713918286e-02,-1.036771249022126362e+00,-2.900518894987240068e-02,4.216883418096877278e-01,6.597523033449135274e-05,3.164174911445727378e-01,5.914381594377279283e-01,-4.807991395710205554e-06,3.161789434917978148e-01
-3.575010280326122114e+00,-8.996190234178700340e-01,3.216166317870006175e-01,-9.484240719755808513e+00,-9.726736275762318251e-02,-1.027304015867775977e+00,-2.923802344872871578e-02,4.205040810001251517e-01,6.558604455080655773e-05,3.163546916520310059e-01,5.902539012700549481e-01,-5.348246344269531253e-06,3.161180766633633343e-01
-3.789900088255802491e+00,-8.866527979554956751e-01,3.490685668664372798e-01,-9.544692754768018261e+00,-1.059625176660900919e-01,-1.027210895863675422e+00,-3.216609812300669224e-02,4.193197512889744738e-01,6.625948557559410094e-05,3.162771415329051483e-01,5.890695666876532011e-01,-5.564608710344732764e-06,3.160373219883693130e-01
-4.006037230754437850e+00,-8.816491687451898374e-01,3.674199329730201136e-01,-9.527217814133983609e+00,-1.116464256156121104e-01,-1.025285823400015506e+00,-3.290845799533023697e-02,4.181286652934509962e-01,6.878102821660227683e-05,3.161963191997640976e-01,5.878784819530434858e-01,-8.423024168545146248e-07,3.159567432690454369e-01
-4.219243479947535569e+00,-8.571281472598889506e-01,3.837122479888637749e-01,-9.455460369313351876e+00,-1.171199410748032660e-01,-1.012034858556227768e+00,-3.429501742182932550e-02,4.169535237218801038e-01,6.838380903972506464e-05,3.161204951928758833e-01,5.867033430446317865e-01,-1.389089905769105154e-06,3.158828575786383208e-01
-4.434103390142571044e+00,-8.688071101562769849e-01,3.841533665281191001e-01,-9.431680379048376750e+00,-1.170817510638700043e-01,-1.012832922768578170e+00,-3.313654040309826909e-02,4.157712380920273731e-01,6.798444037586375043e-05,3.160215800778239381e-01,5.855210480094226178e-01,-1.938314024716366875e-06,3.157773592419368391e-01
-4.649740427605117077e+00,-8.470458443671287085e-01,3.991813711328215941e-01,-8.724212589666088036e+00,-1.221802383268025816e-01,-9.509185744243576766e-01,-3.674553382884997166e-02,4.145735425447149014e-01,6.756104461813962640e-05,3.159759524515668438e-01,5.843234762072421207e-01,-2.557855420572114182e-06,3.158432689653389858e-01
-4.858525001764209428e+00,-8.276946996972227577e-01,3.762264779667758297e-01,-7.906297827828867142e+00,-1.151458149601315706e-01,-8.786876631573723451e-01,-3.327066860334169929e-02,4.134091207064091167e-01,6.714395880610022033e-05,3.159491692938299900e-01,5.831591056286609120e-01,-3.178512533068140176e-06,3.159623467462398527e-01
-5.075262971336396589e+00,-8.221962771541173609e-01,3.842348710888428553e-01,-7.794398851346071133e+00,-1.180407981675741375e-01,-8.688201215273487765e-01,-3.410540151201695014e-02,4.122111540093300053e-01,6.612845866230186546e-05,3.158635008485591866e-01,5.819611302070534231e-01,-5.785982692950111415e-06,3.159174377139186696e-01
-5.290721303911546158e+00,-8.120365787822706460e-01,3.983849725234527295e-01,-7.767868056455881742e+00,-1.223763366825603854e-01,-8.635850505131009713e-01,-3.542407534880084169e-02,4.110243850459470716e-01,6.633070387641855977e-05,3.157567502666194237e-01,5.807743604319768327e-01,-4.312199966293586771e-06,3.158147676986893804e-01
-5.506608001652677942e+00,-7.878035221873712635e-01,4.162253515973834417e-01,-7.768874285864834306e+00,-1.282604536197635425e-01,-8.565114339851517267e-01,-3.712018111684782518e-02,4.098366752341662811e-01,6.592987332628398264e-05,3.156411271779319128e-01,5.795866518168401038e-01,-4.862697271666168537e-06,3.156953359747071697e-01
-5.717498313427589629e+00,-7.629434654854139186e-01,4.324827837898051475e-01,-7.732748268384795232e+00,-1.338769861156223206e-01,-8.454446964897340822e-01,-3.847118186440043330e-02,4.086752201324409528e-01,6.590266830912777174e-05,3.155372459426081799e-01,5.784251949126780756e-01,-6.063052951690544169e-06,3.155954098813166242e-01
-5.936312937325835648e+00,-7.657753681428675074e-01,4.424440712372776918e-01,-7.765598153417824889e+00,-1.367513826298727975e-01,-8.486227390315032038e-01,-3.826465913105381311e-02,4.074728180501421271e-01,6.807590164027012378e-05,3.154070757938642333e-01,5.772227945352896850e-01,-2.967697459644685854e-06,3.154612615748083604e-01
-6.148822014165440386e+00,-7.452303866838296820e-01,4.465251348347274996e-01,-7.746981188123416295e+00,-1.380229073337786161e-01,-8.410887023364767012e-01,-3.926271257956009952e-02,4.063045619284110233e-01,6.767072221167838120e-05,3.152855385434008562e-01,5.760545386639243093e-01,-3.521817931692803314e-06,3.153387354875843984e-01
-6.365791894730526757e+00,-7.289015544454765516e-01,4.497285726802093819e-01,-7.667959474059626857e+00,-1.394561115263296125e-01,-8.296541041819236462e-01,-3.972206436774184529e-02,4.051122311424042999e-01,6.786579999435259753e-05,3.151576230348609453e-01,5.748622086150669830e-01,-2.043875069215975735e-06,3.152101650918981979e-01
-6.579630201951459867e+00,-7.176527642929591000e-01,4.700798656319616908e-01,-7.708946192970672406e+00,-1.458001196177133862e-01,-8.284838157783860346e-01,-4.129249157344938581e-02,4.039385456807581543e-01,6.684995651147973214e-05,3.150199993149155331e-01,5.736885232331551121e-01,-4.644637659416200534e-06,3.150700940621830037e-01
-6.795915656893781964e+00,-7.109326318228882391e-01,4.786298965661085481e-01,-7.645507173618575791e+00,-1.488016936594020734e-01,-8.216771380268899083e-01,-4.203751552704083211e-02,4.027492807363748928e-01,6.643693116965676126e-05,3.148938115115413883e-01,5.724992559889556798e-01,-5.210602416791376961e-06,3.149509812510075113e-01
-7.010030281678066189e+00,-6.975995590097751053e-01,4.937183643769784136e-01,-7.706051850367669154e+00,-1.535196279035982991e-01,-8.228009943565297579e-01,-4.304793859327460392e-02,4.015750137623876892e-01,6.632228574366959045e-05,3.147490149829513251e-01,5.713249901679665621e-01,-4.169395543410843886e-06,3.148041623154392843e-01
-7.226522821631082394e+00,-6.909536109206990684e-01,5.079410806697229885e-01,-7.622291534169749916e+00,-1.585915166872361726e-01,-8.132521975283264482e-01,-4.457842491620686576e-02,4.003870383462526661e-01,6.561728284171842215e-05,3.146054893246388318e-01,5.701370132836245386e-01,-6.332275444618265222e-06,3.146632130000814875e-01
